clean_text,sentiment
kualitas akurasi bagus makasih,positif
response cepat barang sesuai pesanan terima kasih,positif
thank you,positif
paket trima lancarae jaya,positif
barangnya aman packingnjuga plus diksh bonus thanks,positif
pengiriman cepat kualitas mantap god,positif
kualitas barang oke pengiriman cepat terima kasih bonusnya,positif
brang dngan cpt aman thankz kka,positif
produk sesuai deskripsi warna sesuai pesanan thank you,positif
pelayannya cepat seller nya jga baik makasih jga bonusnya gan,positif
packing pengiriman rapi gurita holdernya jug bks plastik mantap tinggal dijual makasih bos next order,positif
barang sesuai pesanan respon cepat terima kasih,positif
packing rapih cuttingnya bagus,positif
mantap guritanya sesuai spesifikasi,positif
sangat bagus cepat dkirim good job,positif
pengiriman cepat packing rapih barang oke dapet bonus hehehe,positif
fast respon barang sesuai pesanan pengiriman cepat,positif
keseluruhan recommend,positif
berfungsi mana mestinya,netral
barang keren memuaskan,positif
sesuai order lumayan iseng,positif
barang mmg terbaik memuaskan sama yg cari,positif
terima kasih barang terima,positif
mantap gan trmksh,positif
respon cepat barang bagus good penjual semoga jaya truss,positif
bagus sesuai deskripsi,positif
order tgl oct diterima tgl oct lumayan lama kualitas barang oke mudah an awet t,netral
terima kasih barang sdh,positif
trmksh pengiriman cepat packing baik semoga barang nya,positif
barang oke suara oke wort it lah harga segitu,positif
sesuai gambar barang sip mksh,positif
barang bagus sesuai pesanan makasih gan,positif
fast respone barang berfungsi sempurna,positif
harga murah barang bagus pelayanan cepat mantab,positif
barang diterima kualitasnya terimakasih gan,positif
diterima baik terimakasih,positif
okelah murmer bos,positif
makasih barang sdh diterima baik,positif
barang dikirim brng rusak,negatif
bagus ka barang nya,positif
barang diterima baik barang sesuai pesanan respon cepat paketan rapi makasih banyak gan,positif
gan sesuai sama harga kualitasnya thanks,positif
proses cepat gosend nya baru kirim bsknya kualitas sesuai hrg thx,positif
bagus volumenya volume bergantung media yg dipakek,positif
top handphonetiam cepet nyampenya,positif
trimakasih banyak,positif
barang kosong uang kok thanks mungkin kedepan interaksi sedikit sama konsumen sekedar menanyakan apa mau ganti barang overload pesanan jadi waktu konfirmasi mah resiko jualan sekedar saran lho thanks anyway gan,negatif
cepat speaker nya bagus moga tmbah maju toko nya,positif
barang diterima baik,positif
cepat mantab fast respon,positif
harga segini bole lah speakernya lucuk,positif
diterima speakernya nyangka mungil hahaha pas ukuran tangan kok suaranya kecil pdhal hp udh maks tambahan volumenya jg yg lainnya tombol next sama prevnya pause hehehe makasihh,netral
barang tangan thanks handphonetiam thanks lazada,positif
barang cepat sesuai pesanan,positif
terimakasih barang diterima baik,positif
kualitas sangat bagus pengisian cepat harga murah pengiriman jg cepat recomended,positif
brg bagus respon seller cepat thx seller,positif
barang sesuai deskripsi,positif
paketnya makasih,positif
brg tertulis jabra gbr beli putih gold diberi warna gold semua brg krg bagus suaranya,negatif
barang udh keterima baik kira pake batre charging trnyata ndak over all,positif
dah terima gan sesuai pesanan terima kasih blum coba smoga bagus,positif
terima kasih,positif
otg bukan hitam emas minus parah os mana dikonek bkin hp mati,negatif
good fast recommended seller,positif
pesen barang yg nyampe walopun refund cash harusnya ad konfirmasi dulu,negatif
terima kasih banyak,positif
pelayanan sangat memuaskan bintang bicara,positif
dah terima gan sesuai pesanan terima kasih,positif
produk sesuai pesanan dicoba seller fast respond packing aman thank u,positif
terimakasih barang terima baik,positif
super cepat barang okke bass kurang keluar its okke mantaap,positif
suaranya gitu boss kurang sesuai ekspektasi,netral
barang sesuai fast respon rekomended seller,positif
mantap orderanya paking rapi seller ramah fasto response,positif
lets five star talk about this seller,positif
terima kasih,positif
biarkan bintang yg berbicara,positif
barang sesuai pesanan dicoba semoga semuanya berfungsi baik,positif
barang bagus kualitas bass nendang,positif
barang bagus sesuai deskripsinya berfungsi baik pengantaran cepat recommended,positif
cukup lumayan bagus sesuai harganya,netral
produk lumayan sesuai gambar,positif
mendarat baik berfungsi normal,positif
pngriman cpt packing rapih terimakasih,positif
barang bagus harga segini,positif
tiba selamat trims yaa,positif
pengiriman cepat sesusai pesanan trmksh,positif
barang sesuai photo,positif
cocok pas bust ruang kantor,positif
barang sesuai deskripsi,positif
barang sangat bagus mantap,positif
makasih kak barangnya ssmpay,positif
sesuai deskripsi pokoknya puas lah,positif
mantap mantap mantap,positif
sesuai deskripsi charge cpt,positif
alat polish berjalan baik cream berfungsi mendingan alat polish nya combine cream anti gores yg terima kasih,positif
respon pengiriman cepat makasih kak,positif
pengiriman kilat tespon cepat barang bagus,positif
keseluruhan recommended,positif
barang nya bagus suara sip top,positif
produk sesuai penjelasan,positif
terimakasih barang diterima baik,positif
brg tiba tepat waktu lg dites moga awet,netral
logo jbl nya huf,netral
kualitas barang baik pengiriman rapih cepat terima kasih,positif
cucok puol,positif
barang bahan sesuai harga semoga awet,netral
barang lumayan kirim nya lama,positif
sesuai pesanan cepat responnya thank you,positif
sesuai produk foto coba kl keriknya,positif
sisi coinnya tajam sakit jg ngerik,positif
alhamdulillah akhirnya pesanan jg dirmh cepat selamat barangnya baik bagus sukses trs pak bu usahanya kedpn amiin,positif
thanks paketnya terima packing rapi makasih,positif
good fast recommended seller,positif
bagus sesuai deskripsi semoga kuat awet,positif
barang sesuai pesana,positif
pesan yg dipakai cacat patah,netral
kerik lebih bertenaga hemat tenaga sangat terasa punggung kerik pake alat menor,positif
alat kerik yg mantab sakit digunakan pegangan yg kokoh recommended yg hobbi dikerik,positif
pelayanan ramah pengiriman cepat mantap barang original sukses selalu gan,positif
mantrapz sesuai deskripsi original normal sesuai trm ksh,positif
barang sesuai harga,positif
kesesuaian deskripsi,positif
murah bagus cocok pengganti koin dak bikin perih,positif
garuk garuk garuk garuk garuk,positif
bagus rekomendit,positif
sesuai deskripsi ty,positif
mantrapz sesuai deskripsi original normal sesuai trm ksh,positif
barang sesuai cepat,positif
speakernya mantap suaranya kualitas mantap mengecewakan recomended seller,positif
produk sesuai deskripsi recomended seller,positif
murah kualitas makasi om sukses terus,positif
seller responsif pengiriman cepat harga murah barang herfungsi baik,positif
mantrapz sesuai deskripsi original normal sesuai trm ksh,positif
sip mantap barang sesuai deskripsi puas pokok nya,positif
barang terimakasih,positif
lumayan bersih kuku,positif
ad barang mohon diperbaiki pelayanannya hargai pembeli jangan asal kirim pesanan kl barang sesuai pesanan nanya dulu sharusnya mau,negatif
gunting kuku krg tajam jepitan uban jg,negatif
sesuai pesanan lengkap fast respon seller good dech pesanan lgsg diproses shg cpt pk j amp t pkknya dech cm dicoba gan semoga berfungsi baik alias ckp tajam bulu peliharaan tq,positif
barang diterima baik,positif
dipacket rapi abis cuman daya tahannya bentaran hari udah kaya enak kapasnya,positif
barang diterima baik,positif
recomend bangeet dah alat digitalisasi,positif
bagus sekali sesuai kebutuhan good luck,positif
makasih iya gan barang pesenan sya udah sampe,positif
pengiriman cepat respon cepat packing semoga awet barangnya thanx yaa,positif
produk sesuai deskripsi berfungsi baik terima kasih atas layanannya yg baik,positif
barang bagus respon penjual baik sayang warna sesuai sma yg pesan,positif
barang sesuai pesanan,positif
barang yg kirim rusak pakai,positif
bagus recommended seller,positif
pesanan cepatt bangeet sampainya aman lengkap sesuai pesanan ori makasiih sukses terus,positif
judul barang kurang pas deskripsi,netral
mantab barang sesuai dahln dengann selamat makasih,positif
mantap orderanya paking rapi seller ramah fasto response,positif
barang sesuai deskripsi,positif
coil brush nya dikirim,negatif
good seller respon cepat pengiriman cepat barang berkualitas,positif
barang bolehlah gunakan,positif
cukup baik meskipun update resinya tengah malam,positif
sesuai deskripsi n lah,positif
sesuai pesanan barang bagus,positif
mantap gan produk sangat bagus pengiriman cepat respon toko sangat oke pokoknya rekomended,positif
headset bekerja baik sesuai gambar,positif
barang bagus sesuai pesanan cepat,positif
bagus headphone doraemonnya anak sy suka respon penjual oke terima kasih,positif
terima kasih paket ukuran warna sesuai deskripsi senang dipaketkan nya rapi,positif
diterima baik,positif
pngriman cpt packing rapih terimakasih,positif
barang prosuknya cacat memiliki retakan,negatif
ksh merekny beda sama keterangan,negatif
murah lah segitu,positif
barang sesuai berfungsi barang kw suara lumayan batre tahan bahan lapisan body bagus licin harga segitu dah lebih cukup pengiriman cepat good lah,positif
produk bagus packing rapi barang cepat semua aman terkendali,positif
barang diterima baik,netral
terima kasih barang terima,positif
produk kereen sesuai gambar fast respon recomended seller,positif
barang baik pengiriman cepat,positif
pesanan diterima terima kasih gan,positif
barang bagus harga miring,positif
mantap gan barang bagus hrg super murah kiriman cepat respon seller benar baik ramah semoga makin sukses handphone tiam,positif
barang item sesuai habis,netral
barang bagus cover kunci motor perlu diakalin sedikit,positif
lucu cuma beli eh kembar it s okey,positif
karakter cover kunci nya cute jdi gemes thanks,positif
oke terima kasih bermanfaat ketuker kuncinya,positif
terima kasih barang dah nyampe,positif
terima kasih barang terima,positif
kualitas brg masalah kan karakter sedih kan yg dimau strawberrynya kirimnya beda jadi cari mungkin yg penting dibayar semoga salah menutup kemungkinan kedepannya lebih baik semoga cek ricek order yg masuk sebagaimana yg dikirim berkah penjual maupun pembeli amin,negatif
pelayanan sanagt cepat baik product baik pengiriman cepat recomended seller joss,positif
produk sesuai diharapkan,positif
oke barnag berfungsi baik kualitas bagus sesuai deskripsi,positif
not working on me coba berhadiah wkwk berefek sy mungkin efek,netral
segel da kbuka dicek kurang gel nya kagak yak,negatif
mantab respon pengirimannya cepat,positif
mantap lucu bagus murah berkualitas,positif
brng bagus packing rapi cm sy pesen yg harimau malah dikasih kuda nil pa,positif
barang yg dikirim sesuai pesanan gambar padahal udah tanya mana yg rady pesan sesuai yg tertera dikasihnya asal,negatif
unik berguna sekali thanks,positif
ngga mirip sama foto cuma warna kuning polos semua kecewa,negatif
pas lucuk sesuai sama gambar,positif
unyuk lah sesuai harapan,positif
makasih makasih makasih makasih makasih,netral
lucu n bagus semoga bikin kabel charger awet,positif
kwalitas barang sesuai harga pesan pcs model yg beda beda spt model display dikirim pcs sama persis kecewa,positif
barang nyampe packing,positif
packing barang rapih aman,positif
done top markotop wele wele,positif
barang diterima sesuai foto,positif
lumyan sesuai harga,netral
tingkatkan trus pelayanannya,positif
paketnya rapi cacat recommended,positif
bagus paking bagus murah meriah,positif
lumayan bagus produknya yg pass terlalu kendor klo mo masukin kpala ujun obeng gagang obeng,positif
mantab respon pengirimannya cepat,positif
sesuai deskripsi,positif
barang sesuai spek mantaff tq,positif
pokoknya mantap cepat terkirim,positif
terimakasih barang diterima,positif
sesuai harga bermanfaat,positif
pesanan diterima terima kasih gan,positif
makasih sdh tiba barangnya meski kurirnya dikit lambat,positif
harga sesuai la ma barang wrna sesuai ma foto,positif
fast respon sayang barangnya dluar ekspektasi kamera gelap,netral
pngriman cpt packing rapih terimakasih,positif
sesuai cepat,positif
salah beli jadi ngga kasih bintang jadi ngga terpakai barang nya,negatif
barang diterima baik proses cepat,positif
pengiriman cepat sayang dicoba kualitas gambar sesuai harapan malam hari walapun pakai lampu terang tv out berfungsi mode,netral
terima kasih carikan barang yg bagus pelanggan senang,positif
rekaman berkendara,positif
barang terima coba mode video p mode video p foto,netral
barangnya refund padhal gw pesen bnyk toko awalnya krna emank pesen,netral
mantab respon pengirimannya cepat,positif
bagus terima kasih,positif
paket barang sesuai pesanan thanks gan,positif
senang produknya dipaketkan rapi cacat recommended,positif
order tgl jan paket terima tgl jan pengiriman lumayan cepat packing sesuai pesanan tertutup pake buble warp segala barangnya sesuai gambar bekerja sebagaimana mestinya,positif
pengemasan cepat pengiriman cepat produk original berfungsi baik,positif
mantap pengiriman cpat trmksh,positif
pengiriman cepat thankss,positif
barang bagus sesuai deskripsi,positif
refundnya dah diterima thanks,positif
respon cepat packing rapih barang asli recommended seller,positif
mantap produk semoga aweett,positif
pesanan dah tiba aman makasih,positif
murah bagus ssuai deskirpsi rekomendasi produk,positif
good seller makasih gan,positif
kecewa barang yg dtg bukan yg udah konfirmasi brg dtg hari kamis diabaikan hari mengeluh chat diabaikan baru jwb disuruh kirim balik brg yg salah brg yg beli dikirim ulang plis hari yg lalu mau brg dtg plg lambat tgl sep masalah brg yg salah ngak mau tgg ongkirnya terserah mau gimana cr nya tunggu tgl ngak brg jd milik dri depok jagakarsa ngak jauh pakai gojek,negatif
mantaaps semoga berguna barangnya fapat mengusir nyamuk,positif
terimakasih barang diterima baik,positif
good pelayanan nya,positif
barang sesuai foto,positif
packing rapih semoga awet barangnya,positif
produk sesuai deskripsi packing rapi pengiriman cepat makasih,positif
bagus nyalanya terang beli semuanya yg bermasalah bagus,positif
produk bagus lumayan harga semurah,positif
direfund cash sdh diterima,negatif
barang sesuai iklan cucok,positif
sdh diterima brang nya bagus lecet nyalany jg terang,positif
terimakasih barang diterima baik,positif
produk sesuai coba masalah,positif
good pengiriman cepat respon baik,positif
sesuai deskripsi respon pelayanan cukup baik packing kurang aman trims,netral
barang bolehlah gunakan,positif
pesanan dah samapai gan barangnya mantap next order,positif
barang sesuai digunakan,positif
barang nya masalah sama sekali,positif
oke fast charge mudah an awet,positif
barang sesuai digunakan,positif
produk berfungsi baik,positif
thanks gan barangnya dah sesuai pesanan,positif
sdh terima tks,positif
terimakasih barang diterima baik,positif
sesuai pesanan,positif
barang sesuai bagus cepat mengisi nya trims,positif
barang sesuai spek puas dah tq,positif
pesanan dah tiba aman makasih,positif
barang sesuai bagus cepat mengisi nya trims,positif
barang sesuai deskripsi fungsional coba rekomendasi produk klo lihat proses chat konfirmasi pembelian pengiriman kyakanya enggak,positif
mantap orderanya paking rapi seller ramah fasto response,positif
barang diterima sesuai pesanan tx,positif
dikirim barangnya walaupun dikasih penggantian uang customer kecewa info sebelumnya,negatif
kabel udah dicoba hasil nya bagus,positif
pesanan cpt datang brg bagus,positif
terlalu sensitif siul pin bunyi sendiri,positif
sesuai hargalah ono rego ono rupo,positif
kirain siul bunyi ternyata bunyi apa ngrespon g spt yg sy bayangkan,netral
bener mantul bosku brg yg sy pesen da yg rusak trpakai smua tks,positif
paket diterima selamat terima kasih,positif
sesuai pesanan langsung proses tq,positif
good pengiriman cepat respon baik,positif
jumlah n warna sesuai orderan trims gan,positif
pelayanannya respon barang dateng sesuai pesanan mantab,positif
makasih gan berfungsi baik semua no cacat walaupun bungkusnya kurang siipp,positif
barang sesuai pas dinyalain alarmnya langsung idup batre jg dapet yg udah low bahan ringkih alhasil cuman jd gantungan kunci biasa harga segitu ngarep lebih lah,negatif
gan lumayan barangnya sesuai harga,netral
pesen nyalah mati mungkin baterainya abis kali maklumlah harga segitu,netral
lumayan lah sesuai harga,positif
kok biji batreinya dah habis,negatif
barang diterima sesuai waktunya sayang sebagian yg bunyi garansi resiko garansi,positif
barang cepat hari libur tahun baru,positif
habis jatuh langsung berfungsi,positif
coba kasih bntang dulu,netral
barang thank gan,positif
terimakasih barang diterima baik,positif
terimakasih barang,positif
makasihh boss udah nyampe selamat sentosa,positif
sori gan salah ketik keterangan jd sesuai jumlah yg order jumlah yg keterangan overall thx gan,positif
sesuai diskripsi brg cpt smpk makasih,positif
barang uda lumayan bagus mudah awet,positif
lancar jaya harga bersahabat,positif
tinggal siul langsung bunyi packing rapih respon cepat,positif
fast respon fast delivery hatur nuhun,positif
barang cepat berfungsi baik terimakasih,positif
thx thx,positif
mantap pesanan cepat respon baik suskes terus,positif
barang mendarat sempurna senang berlangganan disini,positif
bintang berbicara,positif
barang bagus sesuai gambar warna sesuai pesanan cuma suara alarmnya kurang keras,positif
sensor terlalu sensitif sesuai hargalah,netral
tnkyou barang berfungsi,positif
wow pengirimanya cepat pesanan sesuai deskripsi,positif
saran ane harga kualitas mantapp,netral
makasih barang,positif
membantu lupa naro konci,positif
bagus gambar warna biru yg dtg warna merah,positif
mantap barang sesuai pesanan terima kasih,positif
mantap barang oke pengiriman cepat,positif
respawn nya kurang cepat pengiriman nya lelet,netral
recomended seller,positif
klo disiulin bunyi loh,positif
bagus respon penjual cepat barang sesuai,positif
joss bos,positif
ternyata sensornya sensitif,netral
siul siul siul siul siul paket da,positif
recommended barang bagus pengiriman cepat,positif
barang selamat,positif
barang sesuai pesanan suka thanks,positif
bagus sesuai gambar respon cepat,positif
toko kooperatif semoga komitmen lbh baik kedepan,positif
pesanannya kok dikirim model sesuai gambar,negatif
barang sesuai deskripsi,positif
brng yg ft yg dikirim beda,negatif
barang diterima terimakasih,positif
bagus terlalu sensitif sensornya overall,positif
terimakasih barang diterima,positif
produk bgus proses y lama,positif
terimakasih barang diterima baik,positif
kualitas baik ukuran hrga sgitu,positif
recomended product,positif
barang terima baik sesuai gambar,positif
produk pack lumayan rapih barang bagus,positif
bagus nyala sesuai deskripsi packing rapi,positif
mantapll lur,positif
oke sanpai selamat,positif
respon cepat barang sesuai lapak barang barang warna pink cacat pengait karet bawah nya patah jd karet pengikat jari nya dipasang jenis cup nya beda yg udah gtu kondisinya pecah entah sana nya atu expedisi packing ny kurang aman mau return nanggung cm jd lbh mahal biaya return yg normal,netral
terimakasih barang diterima sesuai pesanan,positif
walaupun telat memberi ulasan barang good pengiriman cepat respon baik,positif
barang bagus sesuai deskripsi barang sdh dicoba berfungsi bagus pengiriman jg on time seller cukup responsif thanks,positif
barang bagus pngiriman cepat,positif
barang siipp sesuai iklan sukses selalu broo,positif
produk sesuai deskripsi recomended seller,positif
barang berfungsi semoga awet,positif
barang bagus cuma warnanya hitam semua,positif
harga sesuai kwalitas,positif
sabtu order minggu fast respond kualitas barang sdh dicoba bagus semua best seller,positif
barang nya bagus sesuai gambar,positif
murah meriah efektif,positif
bagus sesuai gambar terimaksih,positif
barang bagus datang cepat terima kasih,positif
puas pelayanannya seller nya baik responsif pengiriman cepat pokoknya puas dah makasih pesen warna hitam karna barang langsung ganti warna putih sama orange,positif
barang nya masalah sama sekali,positif
bagus keren cepat fungsi a,positif
tetap keren,positif
bagus kondisinya sesuai,positif
terimakasih barang diterima baik,positif
barang sdh thanks,positif
brangnya bgus smua berfungsi normal trimakasih ka,positif
top top top top top markotop,positif
makasih barang nya udah sampe,positif
packing parah barang buluk,netral
barang oke sayang ukurannya kecil tangan orang dewasa kekecilan,positif
pengiriman cepat barang sesuai gambar semoga berfungsi baik recommended seller,positif
bermanfaat ngelus kucing dried fur sikat bersih mandiin kucing sy,positif
barang sesuai pesanan sayang miminnya kurang respon barang baru dikirim hari kemudian,positif
barang lumayan bagus sesuai harganya terima kondisi bagus packing rapi,positif
barang respon jg oke thk admin,positif
berguna dipakai beberapa gadget,positif
makasih om barang selamat,positif
terima kasih barang nya semoga sukses selalu,positif
barang bagus mantap sesuai penjelasan,positif
bagus makasih,positif
recomended seller mantap gan,positif
cukup bagus trims gan sukses selalu,positif
barang terima baik thanks,positif
pesen barang yg nyampe walopun refund cash harusnya ad konfirmasi dulu,negatif
barang sesuai pesanan,positif
barang mantap sesuai pict harga murah kualitas okey trmakash,positif
product sesuai iklankan pengiriman cepat packingan rapi semoga sukses,positif
barang keadaan basah dus terendam banjir,negatif
barang sesuai pesana,positif
terima kasih banyak,positif
barang sesuai diskripsi cuma proses lama hari padahal barang katanya ready lebih barang bilang pre order bilang ready kenyataanya,netral
mantap barang sesuai packing rapi,positif
padahal beli banyak biji dipacking cuma pake kresek besar biji trus diisolasi seadanya rusak parah packing barangnya beli ditoko sebelah beli dipacking pake dus hancur,netral
barang sesuai gambar tanks tokopedia seller,positif
bagus menempel kuat kaca dashboard mobil,positif
barang bagus sesuai pesanan,positif
biar bintang yg berbicara,positif
barang bagus so far bungkus nya amburadul kaya stok lama kesimpen urus mas hehe mudah an barang nya awet kaya bungkusnya,positif
barang terima kasih banyak,positif
barang thank u,positif
produk oke sesuai pesanan blom coba mudah oke sedikit lambat pengirimanya,netral
packing rapi pengirman,positif
holder hp nya memang robot bener though banyak goncangan copot mantab thanks,positif
biarkan bintang yg berbicara,positif
mantap produk selamat,positif
masuk pak eko,positif
barang sampe semua sesuai harga,positif
barangnya sesuai deskripsi menempel kuat dashboard kulit jeruk sdh dipakai jalan masalah,positif
produk kualitas lumayan sesuai harga terima kasih,positif
seller fast respon kualitas produk,positif
barang bagus sesuai harganya,positif
produk bagus respon cepat recomended,positif
mantaaps cocok apa diharapkan,positif
mantap ciammiik,positif
terima kasih barang sdh diterima,positif
produk sesuai pesanan packing sangat rapi,positif
barang sesuai gambar sesuai deskripsi,positif
makasih gan mantap jualannya sesuai deskripsi recommend seller,positif
produk oke pengiriman lama penjual sempat memasukkan resi palsu mengulur waktu mengecewakan,netral
dah terima gan sesuai pesanan terima kasih,positif
bagus thx kakak,positif
pembuka tempat baterai keras,positif
keseluruhan recommend,positif
terimakasih barangnya kualitasnya bagus,positif
respon seller cepat packing kualitas sesuai harga tetap harga segitu dicoba berfungsi,positif
kualitas sesuai harganya,netral
murah berfungsi lumayan mbl ato rumah pas mati lampu,netral
good lah,positif
lampu bgus terang sesuai harga murah,positif
bagus kondisinya sesuai,positif
kualtas produk recomended,positif
kualitasnya barangnya bagus terimakasih gan,positif
sesuai pesanan kirain pake cas salah lihat yg cas selisih dikit,negatif
barangnya bagus cm brg yg dtg sesuai permintaan pesen darkbrow dtgnya dark brown abu,negatif
pesan no dikirim malah no padahal ditulis kosong cancel,negatif
biarkan bintang berbicara,netral
sangat kecewa udah tanya readynya barang malam tgl order subuh tangl bukannya dikirim pagi sore ditgl malah undur terus pengiriman selalu beralasan beberapa kali minta cancel seribu alasan kaya gini butuh cepan converter hdmi nya barang lainnya terpaksa order ditoko kota jd yg paket ngak kepake percuma presentasi senin td pagi order ditoko hitungan sabtu minggu sampe dikirim tgl sore jnt minggu tetap buka taunya dikirim tgl siang baru sampe sekarang buang buang uang disruh cancel otomatis dicancel alasannya bayak,negatif
sesuai diskripsi semoga awet,positif
dicoba kayak e jos murah,positif
barang sesuai gambar spec sesuai gambar respon cepat test bagus,positif
bekerja sempurna terima kasih,positif
pengiriman cepat respon seller bagus hdmi male pendek jd yg laptopnya port hdmi femalenya dalem not recomended untungnya port hdmi ane portnya dalem jd work well recomended ty,positif
respon sangat baik barang sesuai deskripsi terima kasih,positif
kemasannya sempet coba dulu,positif
barang bagus sesuai foto sayang ngirimnya lama dibayar jam pagi masuk jne jam malem ditingkstkan kecepatanya,positif
packing barang rapih aman,positif
produk sesuai diskripsi tlg respon ditingkatkan,netral
barang bagus berfungsi,positif
barang berfungsi baik,positif
worth it gan barangnya mantap,positif
diterima good,positif
barang sesuai pesanan tq,positif
paket diterima baik terimakasih,positif
biarlah bintang menjadi saksi,positif
sangat kecewa menyesal,negatif
barang sesuai harapan bagus tunggu orderan selanjutnya terima kasih,positif
barang cukup baik pengiriman lama sekali transfer tgl dikirim tgl sampainya dirumah tgl,positif
ternyata samsung j pro btw thanks,netral
barang diterima baik service cepat top,positif
mantap recommended seller,positif
barang diterima berfungsi baik sayangnya penutup baterai,positif
speaker retak dipojok bawah,negatif
oke harga murah kualitas sip,positif
good barang sesuai gambar cpet jga prosesnya tunggu orderan berikutnya,positif
packing oke barang sesuai harga,positif
produk pesanan customer ku nyampe baik walaupun nyangkut telat dipihak ekpedisi nya mantap best seller deeh,positif
brg uda diterima selamat berfungsi baik sesuai deskripsi pengiriman jg super cepat,positif
barang uang dikembalikan sesuai dibayarkan plus ongkir tetap berubah padahal volume berat justru dibarang ditolak sangat mengecewakan direkomendasikan,negatif
allhamdulillah barang selamat berkat doa seluruh rakyat indonesia packing rapih terima kasih,positif
harga segitu sangat puas bagus normal,positif
paling murah top pokoknya thanks ka,positif
paling murah mantap,positif
sesuai pesanan respon cepat,positif
terimakasih barangnya kualitasnya bagus,positif
dicoba lupa beli lemnya hahaha,positif
unit qualitas bagus respon cepat good seller terima kasih,positif
barang thank gan,positif
barang terima thx,positif
yg bagus cepat panasnya,positif
mantap orderanya paking rapi seller ramah fast response,positif
recomeded seller,positif
pelayanan sanagt cepat baik product baik pengiriman cepat recomended seller joss,positif
recomended seller,positif
mayan dibakar cuma klo lupa matikan netes terus,positif
barang bagus berfungsi baik cuma pengiriman terlalu lama sekali gan kedepannya harap dipercepat dulu gan barang yg kosong uang dimasukkin paket kayak biasa malah ditulis refund diskusi mana agan nanggepin chat cape,netral
barang sesuai deskripsi best seller pokoknya,positif
semoga awet amin,positif
produk kirim kasih ulasan,negatif
terimakasih order diterima,positif
paket lama diexpedisinya,positif
paket sdh diterima sesuai pesanan,positif
kesesuaian produk diterima baik,positif
good lah,positif
sesuai diskripsi mantap,positif
barang selmat,positif
lumayan harga sgituu,positif
mantap pesanan sdh,positif
pelayanan sanagt cepat baik product baik pengiriman cepat recomended seller joss,positif
mantabs cepat barangnya terima kasih bos,positif
produk sesuai pesanan terimakasih,positif
cukup bagus sesuai harga,positif
terimakasih order diterima,positif
padet berat kokoh twrlihat dijajal buka tutup baut,positif
kesesuaian deskripsi,positif
sekali pakai langsung patah gagang kuat,negatif
barang sesuai photo,positif
pelayanannya respon barang dateng sesuai pesanan mantab,positif
barang bagus packing jg aman,positif
terima kasih gan produk sesuai pesanan,positif
pengiriman cukup cepat thanks gan paket sesuai pesanan,positif
barang sesuai deskripsi penjual,positif
pesanan cepat direspon packing bagus,positif
cukup baik terima kasih,positif
barang bagus trimakasih,positif
barang sesuai deskripsi,positif
kwalitas sesuai harga nya,positif
tengkyu gan barang baik,positif
barangnya sesuai diskripsi jempol tokonya beli seadanya terima kasih,positif
barang sesuai digambar terima kasih gan,positif
dus nya nya ancur pengiruman kaya nya cuman asal kirim,negatif
suaranya bagus sayang mic na mati,netral
barang cepat rapi,positif
nya lama barang,positif
cuman nyala sebelah,negatif
respon penjual cepat ramah baik paking sedikit rapih karna kardus nya penyok warna nya sesuai meskipun putih dijaga berarti rawat cepat kotor suka dicoba suaranya kenceng paslah klau dengerin musik teleponan angkat telefon pakai headset nya mesti cabut baru angkat telefonnya terimakasih pelayanan toko kurir nya baik,positif
barang bagus sesuai keinginan,positif
barang sesuai pesanan sayang miminnya kurang respon barang baru dikirim hari kemudian,positif
sama gambar headset mati sebelah,negatif
suaranya terlalu cempreng,netral
barang bagus rapih sesuai gambar,positif
berfungsi thanks seller,positif
isi nya sebagian karatan walaupun segel,negatif
mohon update stock barang jadi dikirim,negatif
maaf ngk diamon kasih gan,positif
lumayan cukur jembut,positif
barang sesuai harga,positif
produk sesuai sering mampir toko,positif
mantab respon pengirimannya cepat,positif
barang sesuai pesanan cepat good luck toko,positif
kualitas bagus harganya,positif
barang terimakasih,positif
barang sesuai deskripsi,positif
barangnya mkasih gan,positif
not bad,positif
barang okelah pelengkap,netral
mancul sip,positif
produk sesuai gambar terima kasih boss,positif
barang udah telat,netral
produk diterima baik,positif
brg tlh diterima baik thanks,positif
mantapp barang sesuai paking rapi,positif
lumayan harga rupa terima kasih,netral
produk sesuai gambar cepat dicoba,positif
barangnya pengiriman cepat mantap,positif
mksih gan brangny keterima,positif
barang masalah sesalkan seller kurang informatif stock kurang harusnya diinfolak bukan langsung dikirim malah dikirim pemberitahuan jadi haru smencari kekurangan barangnya bad service,negatif
test terima kasih,positif
berfungsi baik keset portnya pas dimasukin mungkin baru,positif
mantaab harga okee barang okee barang kecil membantu,positif
pengirimanya lama,netral
mantap surantap sesuai pesanan,positif
terimakasih barang sesuai diskripsi,positif
barang bagus lancar jaya speed oke rekomended,positif
harga rupa mudah an awet barangnya,positif
lampu nya port micro usb jadi repot ngecas nya walaupun ngecas nya lama,positif
mungil sesuai ma harga kali,positif
mantap gan barang bagus hrg super murah kiriman cepat respon seller benar baik ramah semoga makin sukses handphone tiam,positif
produknya ternyata kosong gpp lah uangnya refund,negatif
paket sampe terima kasih,positif
nais terang benderang mudah an awet,positif
mangsatb bro barnagnya,positif
terimakasih brg terima,positif
barang ditujukan cepat,positif
coba mudah mudahan awet,positif
barang diterima sesuai pesanan tq,positif
bagus harga murah barang okei thanks,positif
murah meriah kualitas bagus,positif
